date,open,high,low,close,volume,signal
2019-04-06 03:00:00.000,19.1715,19.1715,19.0,19.0941,94762.66,
2019-04-06 04:00:00.000,19.0961,19.1965,19.0526,19.1801,122010.69,
2019-04-06 05:00:00.000,19.1801,19.3,19.1423,19.1909,151442.6,
2019-04-06 06:00:00.000,19.1891,19.261,19.1412,19.1488,133357.31,
2019-04-06 07:00:00.000,19.1621,19.25,19.13,19.134,145296.09,
2019-04-06 08:00:00.000,19.1343,19.2496,19.1304,19.1855,107606.45,
2019-04-06 09:00:00.000,19.1797,19.2797,19.1581,19.2767,87356.64,
2019-04-06 10:00:00.000,19.266,19.3,19.1301,19.1553,122357.27,
2019-04-06 11:00:00.000,19.1582,19.25,19.0,19.085,134216.34,
2019-04-06 12:00:00.000,19.086,19.2,19.0501,19.0805,88155.35,
2019-04-06 13:00:00.000,19.0954,19.2171,19.0805,19.1529,113027.57,
2019-04-06 14:00:00.000,19.1527,19.189,19.08,19.11,101158.94,
2019-04-06 15:00:00.000,19.1039,19.1529,19.05,19.0643,145720.65,
2019-04-06 16:00:00.000,19.0636,19.0838,18.82,18.9356,139253.43,
2019-04-06 17:00:00.000,18.9351,19.1204,18.9231,19.0899,136315.15,
2019-04-06 18:00:00.000,19.0897,19.0972,19.0,19.0745,124752.49,
2019-04-06 19:00:00.000,19.0423,19.0758,18.9284,18.980999999999998,99652.97,
2019-04-06 20:00:00.000,18.9894,19.035,18.94,19.0202,92570.05,
2019-04-06 21:00:00.000,19.0097,19.0805,18.9504,18.9948,109220.12,
2019-04-06 22:00:00.000,18.9948,19.0722,18.9137,19.0077,120920.77,
2019-04-06 23:00:00.000,19.0,19.0805,18.9726,19.0627,99343.75,
2019-04-07 00:00:00.000,19.0662,19.143,19.0413,19.0785,92202.65,
2019-04-07 01:00:00.000,19.0672,19.1348,19.01,19.1197,116000.3,
2019-04-07 02:00:00.000,19.1215,19.2,19.0814,19.1955,132219.18,
