,num_candles,median_multiplier,sdev_multiplier,window_lookback,ending_capital
2091,7,4,8,48,10342.445535669565
2092,7,4,10,48,14825.50095042304
2093,7,4,12,48,20257.588154860732
2094,7,4,14,48,19629.722333410817
2095,7,4,16,48,22041.087594296183
2096,7,4,18,48,26557.39414333852
2097,7,4,20,48,26558.254710910714
2098,7,4,22,48,24120.580694171935
2099,7,4,24,48,29253.006852622588
2100,7,5,6,48,10375.777922565556
2101,7,5,8,48,11901.252527372873
2102,7,5,10,48,14663.734066100034
2103,7,5,12,48,18655.07737574174
2104,7,5,14,48,20803.25877015293
2105,7,5,16,48,23066.30229424647
2106,7,5,18,48,27301.37172631177
2107,7,5,20,48,26277.72456692703
2108,7,5,22,48,24393.33053817684
2109,7,5,24,48,32460.760910579775
2110,7,6,6,48,10757.990799464344
2111,7,6,8,48,12706.24173658241
2112,7,6,10,48,14644.075076262547
2113,7,6,12,48,18645.128357397178
2114,7,6,14,48,23422.470272368253
2115,7,6,16,48,25657.431443933507
2116,7,6,18,48,29423.26532201459
2117,7,6,20,48,23893.77226983693
2118,7,6,22,48,26920.33548779628
2119,7,6,24,48,31364.98577804529
2120,7,7,6,48,10651.092211481813
